finalserialno,region,Constit_Code,Constit_Name,Interview_Date,total_num_dwel,total_num_hous,num_elig_people,turnoutValidationReg,Age,a01,a02,a03,e01,k01,k02,k03,k11,k13,k06,k08,y01,y03,y06,y07,y08,y09,y11,y17,y18
36020,North West,Stretford,E14000979,27/07/2017,1,1,3,Not voted-registered,42.0,Employment - not enough jobs and too much competition,Labour,Not very interested,4,3,No,,Yes,Yes,Yes,Yes,"GBP 40,000 - GBP 44,999",Own home on mortgage,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Unemployed and actively seeking work,Yes
36021,North West,Stretford,E14000979,01/08/2017,1,1,2,Not voted-registered,81.0,Brexit - the future,Conservatives,Fairly interested,6,8,Yes,Mail,Yes,Yes,No,No,"GBP 20,800 - GBP 25,999",Own home outright,Church of England/ Anglican/Episcopal,Once a week or more,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
36022,North West,Stretford,E14000979,27/07/2017,1,1,2,Voted,82.0,Brexit - leaving the EU as soon as possible,Conservatives,Fairly interested,6,10 Pay a great deal of attention,Yes,Mail,No,Yes,No,No,"GBP 15,600 - GBP 20,799",Own home outright,Church of England/ Anglican/Episcopal,Never or practically never,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
36305,North West,West Lanca,E14001033,17/07/2017,1,1,2,Voted,42.0,terrisisiom,None/No party,Not at all interested,1,1,No,,Yes,Yes,No,Yes,"GBP 60,000 - GBP 74,999",Own home on mortgage,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
36320,North West,West Lanca,E14001033,17/07/2017,1,1,3,Voted,52.0,national health service,Labour,Very interested,3,8,No,,Yes,Yes,No,Yes,"GBP 50,000 - GBP 59,999",Own home on mortgage,Roman Catholic,Less often,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
36321,North West,West Lanca,E14001033,16/07/2017,1,1,2,Not voted-unregistered,22.0,terrisiom,Labour,Not at all interested,0 Left,10 Pay a great deal of attention,No,,No,No,No,Yes,"GBP 20,800 - GBP 25,999",Rented from local authority,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
36324,North West,West Lanca,E14001033,17/07/2017,1,1,1,,75.0,brexit,Conservatives,Very interested,5,9,Yes,Mail,No,Yes,No,Yes,"GBP 5,200 - GBP 10,399",Rented from private landlord,Roman Catholic,Once a week or more,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
36417,North West,West Lanca,E14001033,15/08/2017,1,1,2,Voted,54.0,brexit how to get out with good deal,Labour,Fairly interested,3,8,Yes,Guardian/Observer,No,Yes,No,Yes,"GBP 60,000 - GBP 74,999",Own home on mortgage,No religion,,Yes: trade union,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
36419,North West,West Lanca,E14001033,10/08/2017,1,1,2,,73.0,the nhs and poverty,Labour,Fairly interested,5,8,No,,Yes,Yes,No,No,Refused,Own home outright,Christian - no denomination,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
36424,North West,West Lanca,E14001033,15/07/2017,1,1,1,Voted,74.0,brexit,Conservatives,Very interested,8,8,Yes,Mail,No,Yes,No,No,"GBP 10,400 - GBP 15,599",Own home outright,Church of England/ Anglican/Episcopal,Once a week or more,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
36715,North West,Wigan,E14001039,21/09/2017,1,1,2,Not voted-unregistered,26.0,-1,,Not at all interested,4,4,No,,No,No,No,Yes,"GBP 60,000 - GBP 74,999",Rented from private landlord,No religion,,No,Male,Refused,Working full time -  employee (30+ hours),
36716,North West,Wigan,E14001039,14/08/2017,1,1,1,,47.0,leaving the european union,Labour,Not at all interested,2,2,No,,No,No,No,Yes,Refused,Rented from private landlord,Islam/Muslim,Never or practically never,No,Male,Refused,Working full time - self-employed (30+ hours),
36720,North West,Wigan,E14001039,27/07/2017,1,1,2,Not voted-registered,29.0,mmanagement and lack of fund,None/No party,Very interested,6,8,Yes,Other,Yes,No,Yes,Yes,"GBP 100,000 or more",Rented from private landlord,No religion,,No,Male,Indian,Working full time -  employee (30+ hours),
36722,North West,Wigan,E14001039,14/07/2017,1,1,1,,69.0,to many people from other countries comin here,Don`t know,Not very interested,5,2,No,,No,No,No,No,"Under GBP 2,600",Own home outright,Christian - no denomination,Once a week or more,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
36724,North West,Wigan,E14001039,21/09/2017,1,1,1,Not voted-unregistered,48.0,-1,,Not at all interested,7,3,No,,No,No,No,No,"GBP 36,400 - GBP 39,999",Rented from private landlord,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
36725,North West,Wigan,E14001039,17/07/2017,1,1,3,,67.0,"imigration,the numbers coming in",None/No party,Fairly interested,5,6,No,,No,No,No,No,"GBP 31,200 - GBP 36,399",Own home outright,Church of England/ Anglican/Episcopal,Once a week or more,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
36726,North West,Wigan,E14001039,18/08/2017,1,1,2,,41.0,exit of the european union,Liberal Democrats,Fairly interested,5,6,No,,No,No,No,Yes,"GBP 20,800 - GBP 25,999",Rented from private landlord,Christian - no denomination,Less often,No,Male,Refused,Unemployed and actively seeking work,Yes
36815,North West,Wigan,E14001039,17/09/2017,1,1,2,Voted,59.0,education fees,Labour,Fairly interested,3,2,No,,No,No,No,No,"GBP 36,400 - GBP 39,999",Own home outright,Christian - no denomination,Less often,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
36816,North West,Wigan,E14001039,21/09/2017,1,1,2,Not voted-unregistered,42.0,immigrants,Refused,Not very interested,4,2,No,,No,No,No,Yes,"GBP 75,000 - GBP 99,999",Own home outright,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
36817,North West,Wigan,E14001039,15/07/2017,1,1,1,Voted,32.0,not enough money to fund public services,Labour,Fairly interested,3,2,No,,Yes,No,No,Yes,"GBP 20,800 - GBP 25,999",Own home on mortgage,Church of England/ Anglican/Episcopal,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
36818,North West,Wigan,E14001039,21/09/2017,1,1,2,Voted,44.0,nhs,Don`t know,Very interested,4,4,No,,No,No,No,No,"GBP 60,000 - GBP 74,999",Own home on mortgage,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
36819,North West,Wigan,E14001039,14/07/2017,1,1,2,Voted,41.0,brexit,None/No party,Very interested,4,8,Yes,Independent/The i,No,No,Yes,Yes,"GBP 75,000 - GBP 99,999",Own home on mortgage,Christian - no denomination,Less often but at least once a year,Yes: trade union,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
36820,North West,Wigan,E14001039,20/09/2017,1,1,2,Not voted-unregistered,45.0,education fees,Refused,Fairly interested,1,4,No,,No,No,No,No,"GBP 75,000 - GBP 99,999",Own home on mortgage,Christian - no denomination,Varies too much to say,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
36821,North West,Wigan,E14001039,14/07/2017,1,1,2,Voted,57.0,brexit,None/No party,Fairly interested,5,5,Yes,Guardian/Observer,No,No,No,No,"GBP 60,000 - GBP 74,999",Own home on mortgage,Christian - no denomination,Less often but at least twice a year,Yes: trade union,Female,English/Welsh/Scottish/Northern Irish/British,Working part time - employee (8-29 hours),
36824,North West,Wigan,E14001039,15/07/2017,1,1,1,,87.0,brexit,Conservatives,Fairly interested,8,5,No,,No,No,No,No,"GBP 10,400 - GBP 15,599",Own home outright,Roman Catholic,Less often but at least twice a year,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
36825,North West,Wigan,E14001039,20/09/2017,1,1,1,Voted,55.0,nhs,Conservatives,Fairly interested,4,6,Yes,Sun,No,No,No,No,"GBP 75,000 - GBP 99,999",Own home outright,Christian - no denomination,Less often,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
36917,North West,Workington,E14001053,19/07/2017,1,1,2,Voted,51.0,immigration - too many coming in what about in 20 years when they all have kids - hopitals will not be able to cope,Don`t know,Fairly interested,7,6,No,,No,Yes,No,Yes,Don`t know,It belongs to a Housing Association,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working part time - self-employed (8-29 hours),
36918,North West,Workington,E14001053,28/06/2017,1,1,2,Voted,81.0,NHS -  DO NOT SEEM TO BE GETTING FORWARD- WORSE-CARING HAS GONE OUT OF THE JOB PEOPLE AT THE TOP,Conservatives,Not very interested,8,2,No,,No,Yes,No,No,Don`t know,Own home outright,Church of England/ Anglican/Episcopal,Never or practically never,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
36921,North West,Workington,E14001053,31/07/2017,1,1,1,Not voted-registered,86.0,immigration more and more coming in,Don`t know,Not very interested,3,5,No,,Yes,Yes,No,No,"GBP 31,200 - GBP 36,399",Own home outright,Church of England/ Anglican/Episcopal,Less often but at least once a month,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
36923,North West,Workington,E14001053,01/07/2017,1,1,3,Voted,52.0,nhs - waitingntimes -,Labour,Not at all interested,5,0 Pay no attention,No,,Yes,Yes,No,Yes,"GBP 40,000 - GBP 44,999",Own home outright,Church of England/ Anglican/Episcopal,Less often,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
37001,North West,Workington,E14001053,10/07/2017,1,1,1,,31.0,nhs- lack of fnuding cap on wages,Don`t know,Fairly interested,Don`t know,6,Yes,Telegraph,No,Yes,No,Yes,"GBP 26,000 - GBP 31,199",Own home on mortgage,No religion,,Yes: trade union,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
37003,North West,Workington,E14001053,30/06/2017,1,1,2,Voted,37.0,nhs- - p -where its going and what si going to happen - finncial crisis and getting worse how will they manage it in the future with the aging popultion,Don`t know,Fairly interested,5,7,Yes,Sun,Yes,No,No,Yes,"GBP 26,000 - GBP 31,199",It belongs to a Housing Association,No religion,,Yes: trade union,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
37016,North West,Workington,E14001053,12/07/2017,1,1,2,,28.0,terrorism,Conservatives,Fairly interested,5,7,Yes,Any other regional paper,Yes,Yes,No,Yes,"GBP 60,000 - GBP 74,999",Own home on mortgage,Christian - no denomination,Never or practically never,Yes: staff association,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
37020,North West,Workington,E14001053,01/07/2017,1,1,1,Voted,94.0,too many immigrants,Conservatives,Very interested,10 Right,10 Pay a great deal of attention,Yes,Sun,Yes,Yes,No,No,"GBP 20,800 - GBP 25,999",Own home outright,Church of England/ Anglican/Episcopal,Less often but at least once a year,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
37021,North West,Workington,E14001053,10/07/2017,1,1,2,Not voted-registered,28.0,terrorism,None/No party,Fairly interested,6,5,No,,Yes,Yes,No,Yes,"GBP 45,000 - GBP 49,999",Own home on mortgage,Church of England/ Anglican/Episcopal,Less often,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
37022,North West,Workington,E14001053,10/07/2017,1,1,2,,32.0,terrorism,Don`t know,Not at all interested,Don`t know,0 Pay no attention,No,,No,No,No,Yes,"GBP 36,400 - GBP 39,999",Own home on mortgage,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
37318,Scotland,Angus,S14000004,13/07/2017,1,1,1,,63.0,"nicola sturgon cant stand here ,stop going on about independance,fed with brexit get out if were going out dont mess about give mrs may a bit of support .",Don`t know,Not very interested,3,6,Yes,Mail,No,No,No,Yes,"GBP 10,400 - GBP 15,599",Rented from local authority,Presbyterian/Church of Scotland,Less often,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
37320,Scotland,Angus,S14000004,09/08/2017,1,1,1,,80.0,-1,,Not at all interested,Don`t know,1,No,,No,No,No,No,"GBP 75,000 - GBP 99,999",Own home outright,Presbyterian/Church of Scotland,Less often but at least once a month,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,No
37321,Scotland,Angus,S14000004,18/07/2017,1,1,2,,62.0,dont want to leave euro.,Scottish National Party (SNP),Fairly interested,5,8,Yes,Star,No,Yes,No,No,"GBP 26,000 - GBP 31,199",It belongs to a Housing Association,Christian - no denomination,Less often,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,No
37322,Scotland,Angus,S14000004,13/07/2017,1,1,1,Not voted-registered,60.0,housing-far to mutch empty houses not occupied.,None/No party,Fairly interested,3,8,Yes,Mirror/Record,No,No,No,No,"GBP 5,200 - GBP 10,399",Own home outright,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Not working because long-term sick or disabled,No
37324,Scotland,Angus,S14000004,13/07/2017,1,1,1,Voted,52.0,brexit>dont know if it going to be good or bad.nhs in dire straits.,None/No party,Fairly interested,2,7,Yes,Any other regional paper,Yes,No,No,Yes,"GBP 26,000 - GBP 31,199",Own home outright,Church of England/ Anglican/Episcopal,Less often,No,Female,English/Welsh/Scottish/Northern Irish/British,Working part time - employee (8-29 hours),
37415,Scotland,Angus,S14000004,14/07/2017,1,1,2,Voted,65.0,"nhs failling,waiting times referrals closing down hospitals .",Scottish National Party (SNP),Fairly interested,7,10 Pay a great deal of attention,Yes,Mail,Yes,No,No,Yes,"GBP 100,000 or more",Own home outright,Presbyterian/Church of Scotland,Once a week or more,Yes: trade union,Male,English/Welsh/Scottish/Northern Irish/British,Working part time - employee (8-29 hours),
37417,Scotland,Angus,S14000004,25/07/2017,1,1,2,,37.0,brexit implications of how its going to work out for us personaly.,Don`t know,Not very interested,Don`t know,1,No,,Yes,Yes,No,No,"GBP 40,000 - GBP 44,999",Own home on mortgage,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
37418,Scotland,Angus,S14000004,14/07/2017,1,1,1,,59.0,"nhs understaffed overeused ,imigration uncontrole on boarders,",Conservatives,Fairly interested,7,7,Yes,Mirror/Record,No,No,No,No,Don`t know,Own home outright,Church of England/ Anglican/Episcopal,Less often but at least twice a year,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,No
37421,Scotland,Angus,S14000004,14/07/2017,1,1,1,,63.0,"nhs to long waiting time for opperations,",Labour,Not at all interested,4,2,Yes,Any other regional paper,Yes,No,No,No,"GBP 26,000 - GBP 31,199",Rented from local authority,Presbyterian/Church of Scotland,Less often but at least once a month,No,Female,English/Welsh/Scottish/Northern Irish/British,Not working because long-term sick or disabled,No
37423,Scotland,Angus,S14000004,14/07/2017,1,1,1,,66.0,"drug realated issues ,spending money on methodone to keep drugies happy and cut back on other services.ie homehelps for the elderly/ aged",None/No party,Fairly interested,5,7,Yes,Mirror/Record,Yes,No,No,No,"GBP 50,000 - GBP 59,999",Rented from local authority,Presbyterian/Church of Scotland,Less often but at least twice a year,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,No
37424,Scotland,Angus,S14000004,14/07/2017,1,1,2,,37.0,job security in general but it is also getting harder to live in scotland as a polish national.,None/No party,Not at all interested,Don`t know,0 Pay no attention,No,,No,No,No,No,"Under GBP 2,600",Own home on mortgage,Christian - no denomination,Less often but at least once a year,No,Male,Polish,Working full time -  employee (30+ hours),
37426,Scotland,Angus,S14000004,15/07/2017,1,1,1,Voted,59.0,defence>terroist attacks do we have enough police and fire medical staff also armed forces.,Conservatives,Not at all interested,Don`t know,4,No,,No,Yes,No,No,"GBP 2,600 - GBP 5,199",Rented from local authority,Christian - no denomination,Less often,No,Male,English/Welsh/Scottish/Northern Irish/British,Unemployed and actively seeking work,No
37515,Scotland,"Ayr, Carri",S14000006,27/07/2017,1,1,3,,41.0,Haven't got a clue maybe immigration,Scottish National Party (SNP),Not at all interested,Don`t know,0 Pay no attention,No,,No,Yes,Yes,Yes,Refused,Don`t know,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,A full time student or pupil,No
37519,Scotland,"Ayr, Carri",S14000006,16/08/2017,1,1,1,,53.0,Brexit the consequences of it. Concerns of the groups that emerging becuase of it. Polarisation of views. Seems to be ok to be outspoken against ethnic minorities. Far right groups have been given a platform.,None/No party,Fairly interested,2,8,No,,Yes,Yes,Yes,Yes,Refused,Own home on mortgage,Christian - no denomination,Less often,Yes: trade union,Female,English/Welsh/Scottish/Northern Irish/British,Working part time - employee (8-29 hours),
37520,Scotland,"Ayr, Carri",S14000006,16/08/2017,1,1,2,,36.0,Brexit. The fall out from it. How bad is it going to be? The pound is plummeting. It is really scary.,None/No party,Fairly interested,1,7,Yes,Guardian/Observer,Yes,No,No,No,Refused,Own home on mortgage,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
37523,Scotland,"Ayr, Carri",S14000006,12/09/2017,1,1,2,,49.0,brexit,Conservatives,Not at all interested,4,3,No,,No,Yes,No,No,Don`t know,Own home outright,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Not working because long-term sick or disabled,Yes
37524,Scotland,"Ayr, Carri",S14000006,27/07/2017,1,1,2,,50.0,nATIONAL HEALTH SERVICE. wAITING LISTS TOO LONG FOR SONG.,None/No party,Not at all interested,7,0 Pay no attention,No,,No,No,No,No,Refused,Own home outright,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Unemployed and actively seeking work,No
37525,Scotland,"Ayr, Carri",S14000006,13/09/2017,1,1,1,,35.0,poverty and homelessness,None/No party,Very interested,5,6,Yes,Don't know,No,Yes,Yes,Yes,"GBP 15,600 - GBP 20,799",Rented from private landlord,No religion,,Yes: trade union,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
37618,Scotland,"Ayr, Carri",S14000006,12/08/2017,1,1,2,,55.0,The Government. Lack of defined leadership. Austerity. Ok to get rid of the deficit as quick as you can but the working class is not surving as the government is strangling it. NHS is struggling to survive as the staff aren't staying in the,Conservatives,Fairly interested,5,8,No,,No,No,No,Yes,Don`t know,Own home on mortgage,Christian - no denomination,Less often,Yes: trade union,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
37622,Scotland,"Ayr, Carri",S14000006,22/08/2017,1,1,1,,71.0,I feel we don't have the right people in government to do the right things. I fear my grandchildren coming up in the world and there is nothing there for them with drugs etc and I don't feel enough to stop it.,None/No party,Fairly interested,Don`t know,3,No,,Yes,Yes,No,No,Refused,Own home outright,Christian - no denomination,Less often but at least once in two weeks,Yes: trade union,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,No
37623,Scotland,"Ayr, Carri",S14000006,01/08/2017,1,1,1,Voted,38.0,"Brexit, to do with if its going to isolate us from the rest of Europe",Labour,Not very interested,5,3,No,,No,Yes,No,Yes,"GBP 75,000 - GBP 99,999",Own home on mortgage,Christian - no denomination,Less often,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
38110,Scotland,Dumfriessh,S14000014,22/07/2017,1,1,1,,65.0,brexit,Scottish National Party (SNP),Very interested,Don`t know,8,No,,No,Yes,No,Yes,"GBP 10,400 - GBP 15,599",Rented from private landlord,Roman Catholic,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
38115,Scotland,Dumfriessh,S14000014,12/08/2017,1,1,1,,42.0,economy,None/No party,Not very interested,5,3,No,,No,Yes,No,Yes,"GBP 40,000 - GBP 44,999",Rented from private landlord,Hindu,Less often but at least once a year,No,Female,Indian,Working full time -  employee (30+ hours),
38118,Scotland,Dumfriessh,S14000014,30/07/2017,1,1,1,,82.0,farm subsidies reductions,Conservatives,Not very interested,9,6,Yes,Glasgow Herald,Yes,Don`t know,No,No,"GBP 20,800 - GBP 25,999",Own home outright,Christian - no denomination,Never or practically never,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
38119,Scotland,Dumfriessh,S14000014,31/07/2017,1,1,2,,57.0,immigration without suffient infrastructure to support,None/No party,Fairly interested,3,7,Yes,Metro,Yes,Yes,No,No,"GBP 45,000 - GBP 49,999",Own home outright,No religion,,Yes: trade union,Female,English/Welsh/Scottish/Northern Irish/British,Working part time - employee (8-29 hours),
38121,Scotland,Dumfriessh,S14000014,23/07/2017,1,1,1,,73.0,delay in brexit,Don`t know,Not very interested,7,2,No,,No,Yes,No,No,Don`t know,Rented from private landlord,Christian - no denomination,Never or practically never,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
38123,Scotland,Dumfriessh,S14000014,22/07/2017,1,1,1,,91.0,terrorism,Don`t know,Not very interested,2,4,No,,No,Yes,No,No,Refused,Rented from local authority,Christian - no denomination,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
38216,Scotland,Dumfriessh,S14000014,22/07/2017,1,1,2,,54.0,brexit,None/No party,Not at all interested,5,0 Pay no attention,No,,No,Yes,No,No,"GBP 50,000 - GBP 59,999",Own home on mortgage,No religion,,Yes: trade union,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
38217,Scotland,Dumfriessh,S14000014,06/09/2017,1,1,2,,60.0,brexit,Conservatives,Fairly interested,8,6,No,,Yes,Yes,No,No,"GBP 36,400 - GBP 39,999",Own home outright,No religion,,Yes: trade union,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
38223,Scotland,Dumfriessh,S14000014,23/08/2017,1,1,1,,56.0,brexit,None/No party,Fairly interested,5,7,Yes,Telegraph,No,Yes,Yes,Yes,"GBP 15,600 - GBP 20,799",Own home outright,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
38308,Scotland,Dunfermlin,S14000017,19/07/2017,1,1,2,Voted,58.0,BREXIT,Labour,Fairly interested,5,7,No,,Yes,Yes,Yes,Yes,"GBP 10,400 - GBP 15,599",Rented from local authority,Presbyterian/Church of Scotland,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
38317,Scotland,Dunfermlin,S14000017,17/07/2017,1,1,2,Not voted-registered,52.0,BREXIT,Don`t know,Not at all interested,Don`t know,0 Pay no attention,No,,Yes,Yes,No,No,"GBP 5,200 - GBP 10,399",Rented from local authority,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Not working because long-term sick or disabled,Yes
38318,Scotland,Dunfermlin,S14000017,23/07/2017,1,1,1,,83.0,BREXIT,Conservatives,Fairly interested,10 Right,5,No,,No,Yes,No,No,"GBP 5,200 - GBP 10,399",Own home outright,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
38322,Scotland,Dunfermlin,S14000017,19/07/2017,1,1,1,Voted,51.0,IMMIGRATION,United Kingdom Independence Party (UKIP),Very interested,5,9,No,,Yes,Yes,Yes,Yes,"GBP 10,400 - GBP 15,599",Own home outright,Christian - no denomination,Never or practically never,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
38323,Scotland,Dunfermlin,S14000017,23/07/2017,1,1,2,,42.0,immigration,Don`t know,Fairly interested,5,4,No,,No,No,No,Yes,"GBP 15,600 - GBP 20,799",Rented from local authority,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
38416,Scotland,Dunfermlin,S14000017,19/07/2017,1,1,3,,58.0,BREXIT,None/No party,Fairly interested,5,7,No,,No,Yes,Yes,Yes,"GBP 45,000 - GBP 49,999",Own home outright,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
38422,Scotland,Dunfermlin,S14000017,07/08/2017,1,1,2,,40.0,BREXIT,Conservatives,Very interested,4,7,No,,No,Yes,Yes,Yes,"GBP 50,000 - GBP 59,999",Own home on mortgage,Christian - no denomination,Less often but at least twice a year,Yes: trade union,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
38424,Scotland,Dunfermlin,S14000017,17/07/2017,1,1,2,,69.0,PROBLEMS IN THE HEALTH SERVICE,Conservatives,Not very interested,8,6,Yes,Mail,Yes,Yes,No,No,"GBP 20,800 - GBP 25,999",Own home outright,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
38707,Scotland,Edinburgh,S14000023,31/07/2017,1,1,2,Voted,35.0,"government supporting 1 percent - the reduction of benefits, attic on nhs and public services",Labour,Very interested,2,10 Pay a great deal of attention,Yes,Guardian/Observer,No,Yes,Yes,Yes,"GBP 20,800 - GBP 25,999",Own home outright,No religion,,Yes: trade union,Male,English/Welsh/Scottish/Northern Irish/British,Working part time - employee (8-29 hours),
38718,Scotland,Edinburgh,S14000023,29/07/2017,1,1,2,Voted,40.0,brexit,Don`t know,Not very interested,5,3,Yes,Scotsman,No,Yes,No,Yes,"GBP 20,800 - GBP 25,999",It belongs to a Housing Association,Presbyterian/Church of Scotland,Never or practically never,Yes: trade union,Female,English/Welsh/Scottish/Northern Irish/British,Working part time - employee (8-29 hours),
38720,Scotland,Edinburgh,S14000023,01/08/2017,1,1,2,Not voted-registered,27.0,brexit and the uncertainty it brings,Labour,Fairly interested,5,7,No,,No,Yes,No,Yes,"GBP 5,200 - GBP 10,399",Own home on mortgage,Islam/Muslim,Less often but at least once a month,No,Female,Pakistani,Looking after the family or home,No
38722,Scotland,Edinburgh,S14000023,20/09/2017,1,1,1,,57.0,"People killing each other, bombs in back-packs, people blaming others.",None/No party,Not at all interested,0 Left,3,No,,No,Yes,No,No,"GBP 2,600 - GBP 5,199",It belongs to a Housing Association,United Reform Church (URC)/Congregational,Never or practically never,No,Male,English/Welsh/Scottish/Northern Irish/British,Not working because long-term sick or disabled,Yes
38724,Scotland,Edinburgh,S14000023,26/07/2017,1,1,1,Voted,26.0,brexit,Labour,Fairly interested,3,7,Yes,Guardian/Observer,No,Yes,Yes,Yes,"GBP 10,400 - GBP 15,599",Own home outright,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,A full time student or pupil,Yes
38817,Scotland,Edinburgh,S14000023,19/07/2017,1,1,2,Voted,43.0,polital direction,Liberal Democrats,Fairly interested,6,8,Yes,Mail,Yes,Yes,No,No,"GBP 75,000 - GBP 99,999",Own home on mortgage,Christian - no denomination,Less often but at least twice a year,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
38819,Scotland,Edinburgh,S14000023,25/07/2017,1,1,2,Voted,40.0,brexit,Conservatives,Fairly interested,Don`t know,6,Yes,Other,No,Yes,No,No,"GBP 100,000 or more",Own home on mortgage,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
38823,Scotland,Edinburgh,S14000023,23/09/2017,1,1,2,,86.0,"That we have a Tory Government, who can handle the econmy in a professional manner,",Conservatives,Fairly interested,5,10 Pay a great deal of attention,Yes,Express,Yes,Yes,No,No,"GBP 20,800 - GBP 25,999",Own home outright,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
38825,Scotland,Edinburgh,S14000023,17/09/2017,1,1,2,Not voted-unregistered,59.0,Climate Change. Nothing to add.,Labour,Fairly interested,3,8,Yes,Guardian/Observer,Yes,Don`t know,No,No,"GBP 50,000 - GBP 59,999",Own home outright,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,No
